,date,latitude,longitude,humidity,vapor_pressure,temperature,precip,solar_radiation,pressure,wind_speed,wind_direction_degree,feels_like,wind_direction,wind_scale,code,text,power
5039,2022-11-22 11:45:00,37.891586,115.144497,52.537583132305976,7.213740340348853,11.678742499999998,0.0,270.40806,1020.0668,0.904448675,108.7350779308008,10.64859764184382,东东南,1,0,晴,-47414
5040,2022-11-22 12:00:00,37.891586,115.144497,51.87944634936178,7.027752320430268,11.474480000000028,0.0,310.08353,1019.8113,0.6599676,98.6649850018006,10.551845233039412,东,1,0,晴,-62920
5041,2022-11-22 12:15:00,37.891586,115.144497,50.37525090725643,6.984749438201212,11.826622500000042,0.0,309.394405,1019.602675,0.619332535,108.19154301641753,10.94641583410121,东东南,1,0,晴,-141693
5042,2022-11-22 12:30:00,37.891586,115.144497,48.91766851503782,6.941979143769518,12.178765,0.0,308.70528,1019.39405,0.57869747,120.22159206941524,11.341033759619528,东东南,1,0,晴,-109821
5043,2022-11-22 12:45:00,37.891586,115.144497,47.50516079380285,6.899440355506315,12.530907500000012,0.0,308.016155,1019.185425,0.538062405,134.42029344050053,11.735698781622864,东南,1,0,晴,-151668
5044,2022-11-22 13:00:00,37.891586,115.144497,46.1362432398294,6.85713199591553,12.883050000000026,0.0,307.32703,1018.9768,0.49742734,149.39662253587673,12.130410673111989,南东南,1,0,晴,-122536
5045,2022-11-22 13:15:00,37.891586,115.144497,43.72613444662163,6.638900124569457,13.208947500000022,0.0,312.2931975,1018.7799,0.65260533,148.00350036778943,12.3346481206178,南东南,1,0,晴,-172446
5046,2022-11-22 13:30:00,37.891586,115.144497,41.439158081046266,6.426828208113061,13.534845000000018,0.0,317.259365,1018.583,0.80778332,147.1453832596481,12.540118173781387,南东南,1,0,晴,-82445
5047,2022-11-22 13:45:00,37.891586,115.144497,39.269135960853305,6.220766156172652,13.860742500000017,0.0,322.2255325,1018.3861,0.96296131,146.56396738368176,12.746790733569398,南东南,1,0,晴,-162129
5048,2022-11-22 14:00:00,37.891586,115.144497,37.21019586119916,6.020566898232695,14.186640000000011,0.0,327.1917,1018.1892,1.1181393,146.14407967081118,12.954636308913043,东南,1,0,晴,-143361
5049,2022-11-22 14:15:00,37.891586,115.144497,37.11938584228219,6.032804053924504,14.255705000000034,0.0,301.0571575,1018.06595,1.132080975,144.3531771784215,13.02190840903472,东南,1,0,晴,-127649
5050,2022-11-22 14:30:00,37.891586,115.144497,37.02887072309079,6.045063198618842,14.324770000000058,0.0,274.922615,1017.9427,1.14602265,142.6026773252119,13.089184875216546,东南,1,0,晴,-116325
5051,2022-11-22 14:45:00,37.891586,115.144497,36.93864935820856,6.057344366309231,14.393835000000024,0.0,248.7880725,1017.81945,1.1599643249999998,140.89438257418976,13.156465714201351,东南,1,0,晴,-84337
5052,2022-11-22 15:00:00,37.891586,115.144497,36.84872060733176,6.069647591032433,14.462900000000047,0.0,222.65353,1017.6962,1.173906,139.2297100517981,13.223750932740709,东南,1,0,晴,-88723
5053,2022-11-22 15:15:00,37.891586,115.144497,37.71438400938633,6.085122209137401,14.143537500000036,0.0,190.21501625,1017.572365,1.182670825,132.42362952628963,12.879461561680897,东南,1,0,晴,-37762
5054,2022-11-22 15:30:00,37.891586,115.144497,38.60238483503583,6.100631701414202,13.824175000000023,0.0,157.7765025,1017.44853,1.1914356499999998,125.5267265108665,12.53517953931555,东南,1,0,晴,-80750
5055,2022-11-22 15:45:00,37.891586,115.144497,39.51335012653259,6.116176135468414,13.504812500000014,0.0,125.33798875,1017.324695,1.200200475,118.73531513703162,12.190904882477934,东东南,1,0,晴,-43899
5056,2022-11-22 16:00:00,37.891586,115.144497,40.447925925116735,6.131755579013432,13.185450000000005,0.0,92.899475,1017.20086,1.2089653,112.2285309224464,11.846637608051552,东东南,1,0,晴,-33173
5057,2022-11-22 16:15:00,37.891586,115.144497,43.015344486647415,6.217650820017738,12.45832999999999,0.0,69.67460625,1017.101485,1.0966431625,121.07113400286804,11.15886329824717,东东南,1,0,晴,-20958
5058,2022-11-22 16:30:00,37.891586,115.144497,45.75743025280586,6.304608084659157,11.731210000000033,0.0,46.4497375,1017.00211,0.984321025,133.32995947193157,10.471304559345484,东南,1,0,晴,-10540
5059,2022-11-22 16:45:00,37.891586,115.144497,48.68688677872595,6.392638648749087,11.00409000000002,0.0,23.22486875,1016.902735,0.8719988875,149.53259263461743,9.783963749210244,南东南,1,0,晴,-1267
5060,2022-11-22 17:00:00,37.891586,115.144497,51.81740242867134,6.481753886380414,10.276970000000006,0.0,0.0,1016.80336,0.75967675,168.28569739362766,9.09684324819764,南东南,1,0,晴,378
5061,2022-11-22 17:15:00,37.891586,115.144497,54.12310666604616,6.576388801136132,9.843377500000033,0.0,0.0,1016.868645,0.5860241325,167.77978849855612,9.205853205396398,南东南,1,0,晴,498
5062,2022-11-22 17:30:00,37.891586,115.144497,56.53579904351294,6.672242630193152,9.409785000000056,0.0,0.0,1016.93393,0.412371515,166.84423867910297,8.870754898862321,南东南,1,0,晴,515
5063,2022-11-22 17:45:00,37.891586,115.144497,59.06066757863179,6.769328845515161,8.976192500000025,0.0,0.0,1016.999215,0.2387188974999999,164.53070475729035,8.551918316803611,南东南,0,0,晴,127
5064,2022-11-22 18:00:00,37.891586,115.144497,61.7031634786125,6.867661041158272,8.54260000000005,0.0,0.0,1017.0645,0.06506628,149.7645297815291,8.29045935549764,南东南,0,0,晴,0
5065,2022-11-22 18:15:00,37.891586,115.144497,62.89522597403212,6.855330137026001,8.234280000000012,0.0,0.0,1017.15865,0.12438778,171.93121349543406,7.882910215477009,南,0,0,晴,0
5066,2022-11-22 18:30:00,37.891586,115.144497,64.11366885809018,6.8430187957504485,7.925960000000032,0.0,0.0,1017.2528,0.1837092799999999,179.83865645595293,7.489802434517597,南,0,0,晴,0
5067,2022-11-22 18:45:00,37.891586,115.144497,65.35914476405202,6.830726990655607,7.617640000000051,0.0,0.0,1017.34695,0.2430307799999999,183.7325311205992,7.102643768167254,南,0,0,晴,0
5068,2022-11-22 19:00:00,37.891586,115.144497,66.63232408999546,6.818454695095434,7.309320000000014,0.0,0.0,1017.4411,0.30235228,186.02953792618013,6.717947899518201,南,1,0,晴,0
5069,2022-11-22 19:15:00,37.891586,115.144497,67.78784210376362,6.865013887908199,7.157747500000028,0.0,0.0,1017.4322,0.2426190624999999,182.2711332282984,6.594484882212491,南,0,0,晴,0
5070,2022-11-22 19:30:00,37.891586,115.144497,68.96391561491433,6.911853711380157,7.006174999999985,0.0,0.0,1017.4233,0.182885845,174.2032943128483,6.475873185215392,南,0,0,晴,0
5071,2022-11-22 19:45:00,37.891586,115.144497,70.16092116308671,6.958975617695186,6.854602499999999,0.0,0.0,1017.4144,0.1231526275,148.32112390209886,6.365664048103484,南东南,0,0,晴,0
5072,2022-11-22 20:00:00,37.891586,115.144497,71.37924241147778,7.006381065201176,6.7030300000000125,0.0,0.0,1017.4055,0.06341941,71.91070132208294,6.272843811534588,东东北,0,0,晴,0
5073,2022-11-22 20:15:00,37.891586,115.144497,72.46625380723498,6.98954398949449,6.44876499999998,0.0,0.0,1017.45155,0.0676603299999999,56.94962702133736,5.978528433188417,东东北,0,0,晴,0
5074,2022-11-22 20:30:00,37.891586,115.144497,73.57246127650477,6.972742662213058,6.194500000000005,0.0,0.0,1017.4976,0.07190125,322.8248813022098,5.68183504177762,西北,0,0,晴,0
5075,2022-11-22 20:45:00,37.891586,115.144497,74.69824646808237,6.955977018128707,5.94023500000003,0.0,0.0,1017.54365,0.07614217,282.24793586770835,5.382678080765383,西西北,0,0,晴,0
5076,2022-11-22 21:00:00,37.891586,115.144497,75.84399941865114,6.939246992110999,5.6859699999999975,0.0,0.0,1017.5897,0.08038309,274.6146425384948,5.080972666399902,西,0,0,晴,0
5077,2022-11-22 21:15:00,37.891586,115.144497,76.46352845788617,6.924830615541361,5.538890000000038,0.0,0.0,1017.694375,0.10305796,264.691958583882,4.877347092391257,西,0,0,晴,0
5078,2022-11-22 21:30:00,37.891586,115.144497,77.08903368568542,6.910440701528064,5.391810000000021,0.0,0.0,1017.79905,0.12573283,258.2443576716938,4.676117515247863,西西南,0,0,晴,0
5079,2022-11-22 21:45:00,37.891586,115.144497,77.72058064556474,6.896077208324281,5.244730000000004,0.0,0.0,1017.903725,0.1484076999999999,253.82179163952665,4.476395230925171,西西南,0,0,晴,0
5080,2022-11-22 22:00:00,37.891586,115.144497,78.35823568075058,6.881740094237276,5.097650000000044,0.0,0.0,1018.0084,0.17108257,250.63465413818813,4.2776183720860335,西西南,0,0,晴,0
5081,2022-11-22 22:15:00,37.891586,115.144497,77.49897911000974,6.7865051343587615,5.055947500000059,0.0,0.0,1018.042975,0.2562931125,246.89013940736365,4.166738306372362,西西南,0,0,晴,0
5082,2022-11-22 22:30:00,37.891586,115.144497,76.64748439936957,6.692436421078848,5.014245000000074,0.0,0.0,1018.07755,0.341503655,245.01223735321528,4.068331752320087,西西南,1,0,晴,0
5083,2022-11-22 22:45:00,37.891586,115.144497,75.80369880289851,6.599521658305819,4.972542500000031,0.0,0.0,1018.112125,0.4267141975,243.88600583634707,3.977896258513728,西西南,1,0,晴,0
5084,2022-11-22 23:00:00,37.891586,115.144497,74.96756978037997,6.507748656654625,4.930840000000046,0.0,0.0,1018.1467,0.51192474,243.13593389243525,3.893126483489536,西西南,1,0,晴,0
5085,2022-11-22 23:15:00,37.891586,115.144497,76.44690666940704,6.546069963384975,4.735280000000046,0.0,0.0,1018.0901,0.507455145,238.52125989236345,3.651858347675134,西西南,1,0,晴,0
5086,2022-11-22 23:30:00,37.891586,115.144497,77.95684655440634,6.5845905515730445,4.539720000000045,0.0,0.0,1018.0335,0.50298555,233.75826672029905,3.40753723549839,西南,1,0,晴,0
5087,2022-11-22 23:45:00,37.891586,115.144497,79.49805369097417,6.623311311527302,4.344160000000045,0.0,0.0,1017.9769,0.498515955,228.9078422983942,3.160074543324233,西南,1,0,晴,0
5088,2022-11-23 00:00:00,37.891586,115.144497,81.07120746191653,6.6622331368223495,4.1486000000000445,0.0,0.0,1017.9203,0.49404636,224.0380091556281,2.9093792116027988,西南,1,0,晴,0
5089,2022-11-23 00:15:00,37.891586,115.144497,81.207020933493,6.691972601085162,4.188155000000052,0.0,0.0,1017.8303625,0.4687621825,231.85773092846676,2.9670166992646823,西南,1,0,晴,0
5090,2022-11-23 00:30:00,37.891586,115.144497,81.34294821739654,6.721829301539724,4.227710000000002,0.0,0.0,1017.740425,0.443478005,241.09458868403811,3.025098739216093,西西南,1,0,晴,0
5091,2022-11-23 00:45:00,37.891586,115.144497,81.47898923354278,6.751803635201776,4.267265000000009,0.0,0.0,1017.6504874999998,0.4181938275,251.5670830088224,3.0836620058806563,西西南,1,0,晴,0
5092,2022-11-23 01:00:00,37.891586,115.144497,81.61514390165853,6.781896000190766,4.306820000000016,0.0,0.0,1017.56055,0.39290965,262.7372496079821,3.1427488791740537,西,1,0,晴,0
5093,2022-11-23 01:15:00,37.891586,115.144497,81.88548249748759,6.875510438476341,4.455082500000003,0.0,0.0,1017.4383375,0.5064765875,241.9960770179216,3.22823172072973,西西南,1,0,晴,0
5094,2022-11-23 01:30:00,37.891586,115.144497,82.15596646589188,6.970264568637383,4.60334499999999,0.0,0.0,1017.3161249999998,0.620043525,227.85558300163748,3.322773337646872,西南,1,0,晴,0
5095,2022-11-23 01:45:00,37.891586,115.144497,82.4265937231923,7.0661702918339575,4.751607500000034,0.0,0.0,1017.1939125,0.7336104625,218.64959100371863,3.424145985505183,西南,1,0,晴,0
5096,2022-11-23 02:00:00,37.891586,115.144497,82.69736218937402,7.163239611054185,4.899870000000021,0.0,0.0,1017.0717,0.8471774,212.4748462849484,3.5309573114670534,南西南,1,0,晴,0
