index,date,latitude,longitude,humidity,vapor_pressure,temperature,precip,solar_radiation,pressure,wind_speed,wind_direction_degree,feels_like,wind_direction,wind_scale,code,text,power
95,0,37.891586,115.144497,95.6454738366636,18.93207708219569,17.337064999999996,0.0,0.0,1007.451025,1.468597425,53.62860556849064,18.67386040768948,东北,1,0,晴,0
99,1,37.891586,115.144497,96.9014945570753,19.04803795053248,17.227305,0.0,0.0,1007.124075,1.196807225,30.220862562174176,18.756257981757948,北东北,1,0,晴,0
103,2,37.891586,115.144497,97.7063423885315,19.50668388449833,17.472912500000007,0.0,0.0,1007.16545,1.19225475,346.6329602435734,19.11345169636936,北西北,1,0,晴,0
107,3,37.891586,115.144497,97.83523999906836,19.4578729488554,17.41236250000003,0.0,0.0,1006.7485,1.523934675,346.53984249654104,18.82335266599953,北西北,1,0,晴,0
111,4,37.891586,115.144497,97.75613858943105,19.469543897492294,17.4346625,0.0,0.0,1006.449425,1.21165045,8.708936080900145,19.05251943567541,北,1,0,晴,0
115,5,37.891586,115.144497,98.43498281146164,19.64275113951389,17.465332500000045,0.317750265,0.0,1006.757575,0.8072581525,347.50434550465206,19.38274268838195,北西北,1,13,小雨,0
119,6,37.891586,115.144497,98.6111839580217,19.810788956187512,17.571965000000034,0.7703321750000001,0.0,1006.6743625,0.8212486175,340.82046364738903,19.521238221053625,北西北,1,13,小雨,0
123,7,37.891586,115.144497,98.62532524851116,19.88937976197768,17.632465000000025,0.641855225,3.7261755,1006.6792575,1.57035445,319.4652635457594,19.114714805564248,西北,1,13,小雨,0
127,8,37.891586,115.144497,98.35083126535103,20.16252975257735,17.893245000000036,0.3637277775,13.092911999999998,1007.30711,1.200072975,306.87734563613054,19.68884213035537,西北,1,13,小雨,-233127
131,9,37.891586,115.144497,97.27982735089458,20.23841476331158,18.127155000000016,0.0,86.0550915,1007.49369,1.0390627,319.75409588733135,20.058839607177887,西北,1,0,晴,-492424
135,10,37.891586,115.144497,94.3564975458391,20.38001092747636,18.72530500000005,0.0,181.330159,1007.907375,1.608193175,353.64772431012454,20.356961745068563,北,2,0,晴,-1657589
139,11,37.891586,115.144497,88.58368545545443,20.63101904998682,19.936612500000024,0.0,191.9128625,1007.7782875,1.44238925,23.12259037296696,21.810477657234536,北东北,1,0,晴,-2453772
143,12,37.891586,115.144497,86.6587448728796,20.613425331926813,20.27803,0.0,230.3182625,1007.3964375,1.567653825,348.97175583210844,22.090741093803377,北,1,0,晴,-1928690
147,13,37.891586,115.144497,87.04599647446209,20.895172007029483,20.42571250000003,0.0,479.325295,1007.10655,1.3837452,339.74160348566795,22.424455315060275,北西北,1,0,晴,-2594852
151,14,37.891586,115.144497,86.66325918054758,21.120117027283687,20.67092500000001,0.0,255.043625,1006.759995,1.300047325,350.3036117526199,22.78602190764249,北,1,0,晴,-3210108
155,15,37.891586,115.144497,85.2785182677935,21.03113194962278,20.86407500000001,0.0,138.2891575,1006.58984,0.8884543,346.92407736325697,23.242407314914,北西北,1,0,晴,-1455466
159,16,37.891586,115.144497,85.83769674405329,21.08416753683036,20.798760000000016,0.0,103.3702125,1006.528725,1.0239601,351.11909721909205,23.09504463432368,北,1,0,晴,-1264373
163,17,37.891586,115.144497,87.13993278254777,21.0046464396647,20.49294500000002,0.0,53.195718,1006.579845,0.9986270025,26.09726758589602,22.768535753572152,北东北,1,0,晴,-977456
167,18,37.891586,115.144497,88.75462943841357,21.009911548325835,20.199600000000032,0.0,9.940341,1006.968315,0.6743143925,25.56854886277202,22.666616016842205,北东北,1,0,晴,-39975
